변수,설명,척도,비고
rid,응답자 ID,문자,—
org_id,조직(팀) ID · Level-2 군집,문자,46개 조직
flag,불성실 응답 플래그,0/2/3/4,"0=정상, 2=직선반응, 3=패턴응답, 4=시간미달"
flag_reason,불성실 사유,문자,—
resp_sec,응답 소요시간(초),연속,속도위반 탐지용
sex,성별,1/2,"1=남, 2=여"
age,연령(만),연속,20~44
edu,최종학력,1~5,1=고졸이하 … 5=박사
marital,혼인상태,1~3,"1=미혼, 2=기혼, 3=기타"
tenure_yr,현 직장 재직기간(년),연속,우편포 skew≈1.2
career_yr,총 경력기간(년),연속,—
n_prev_job,이직 횟수,계수,—
n_try_move,이직 시도 횟수,계수,극단치 포함 · 결측 3%
rank,직급,1~6,1=사원 … 6=임원
firm_size,기업규모,1~3,"1=중소, 2=중견, 3=대기업"
emp_type,고용형태,1/2,"1=정규직, 2=비정규직"
job_fn,담당직무,1~10,—
wage_10k,월평균 임금(만원),연속,극단치 포함 · 결측 6%
org_size,조직 규모(명),연속,Level-2
org_industry,조직 업종,1~5,Level-2
SC_*,자기자비 문항 (2차요인 · 하위 6),1~5,SK 자기친절 / SJ 자기비난R / CH 보편적인간성 / IS 고립R / MI 마음챙김 / OI 과잉동일시R
PC_*,긍정심리자본 문항 (2차요인 · 하위 4),1~5,EF 자기효능 / HO 희망 / RE 회복탄력 / OP 낙관
CM_*,경력관리행동 문항 (2차요인 · 하위 4),1~5,CE 경력탐색 / NW 네트워킹 / SP 자기제시 / MB 이동준비
WE_*,직무열의 문항 (2차요인 · 하위 3),1~5,VI 활력 / DE 헌신 / AB 몰두
PA_*,주도적 성격 문항 (단일요인 8),1~5,—
LS_*,학습지원문화 문항 (Level-2 합산 대상 5),1~5,r_wg · ICC(2) 산출용
TI_*,이직의도 문항 (3),1~5,—
JP_*,직무성과 문항 (4),1~5,—
EX_*,정서적 소진 문항 (4),1~5,의도적 저신뢰도 척도 (α≈.5대)
*_m,하위요인 평균 (역채점 반영),연속,—
*_TOT,구인 총점 평균 (역채점 반영),연속,—
"W{1,2,3}_{SC,WE,TI}_p{1,2,3}",3파 문항꾸러미,1~5,"W2 이탈 12%, W3 이탈 22%"
left_12m,12개월 내 실제 이직 여부,0/1,로지스틱 종속
time_months,이직까지 개월수,연속,생존분석
event,사건 발생(1) / 중도절단(0),0/1,생존분석
