rid,org_id,sex,age,tenure_yr,TI_TOT,WE_TOT,LS_TOT,CM_TOT,q_open,answer,dominant_topic_true
R0001,ORG01,2,31,1.9,3.333,3.25,2.0,2.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,팀장 협업 존중이(가) 가장 큰 문제라고 생각합니다. 온라인 콘텐츠 학습이(가) 가장 큰 문제라고 생각합니다.,리더십·관계
R0002,ORG01,1,32,0.8,4.0,4.0,4.0,4.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,회사가 업무량 피로에 더 신경 써 주면 좋겠습니다. 분위기 관계 리더 관련해서 만족스러운 편입니다.,업무량·소진
R0003,ORG01,2,35,4.2,2.0,3.417,3.4,3.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"구성원 차원에서 볼 때, 온라인 교육 학습 부분에서 개선이 필요합니다.",교육·학습
R0004,ORG01,1,34,4.7,3.0,2.833,2.6,3.812,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"생각 차원에서 볼 때, 회사가 임금 승급에 더 신경 써 주면 좋겠습니다.",보상·처우
R0005,ORG01,2,28,4.2,3.333,4.167,2.4,4.312,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,역량개발 미래 경력 경력경로이(가) 가장 큰 문제라고 생각합니다.,경력·성장
R0006,ORG01,1,38,4.9,3.333,3.5,3.8,3.125,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,소통 존중 피드백 협업 문제가 반복되고 있습니다. 수당 인센티브 승급에 대한 지원이 부족합니다. 성장 역량개발 전문성 자기계발 측면은 잘 되어 있다고 봅니다.,리더십·관계
R0007,ORG01,1,35,0.7,3.0,4.182,3.8,3.688,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,교육·학습
R0008,ORG01,2,34,4.4,2.333,4.0,2.6,3.625,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,승급 만족 공정 복지 관련해서 만족스러운 편입니다.,보상·처우
R0009,ORG02,2,27,3.4,4.333,2.333,3.0,2.562,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,휴식 일정 여유 때문에 고민이 많습니다. 교육비 학습 연수 측면은 잘 되어 있다고 봅니다. 소통 협업 코칭 부분에서 개선이 필요합니다.,업무량·소진
R0010,ORG02,1,33,4.3,2.333,4.0,3.8,3.75,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,"필요 차원에서 볼 때, 승진 직무전환 문제가 반복되고 있습니다.",경력·성장
R0011,ORG02,1,23,5.0,4.333,2.75,2.4,2.438,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,,보상·처우
R0012,ORG02,2,34,5.8,3.0,3.0,3.0,3.0,우리 회사의 인재개발에서 개선이 필요한 점은 무엇입니까?,피로 과중 번아웃 부분에서 개선이 필요합니다. 팀장 관계 협업 때문에 고민이 많습니다.,업무량·소진
